X,Y,Z
20.87082779,613623.2666,674977.9583
16.86157677,325588.8133,334708.9302
19.89429316,532032.8359,498703.0983
22.51727751,769495.2542,757698.1964
16.85530976,325230.6083,179043.4755
16.21007517,289756.8874,320484.6997
19.9225651,534285.9828,529111.6384
17.86608695,386512.6105,438295.1537
31.75582347,2150389.249,2135977.946
24.50004798,989936.1029,985202.0941
25.98867739,1180714.893,1102034.601
22.14826275,732490.3095,725940.0066
28.12574334,1495405.524,1565433.292
22.33848167,751412.8641,782383.7958
18.17908345,406957.5916,378879.6026
16.17432653,287871.8054,326140.71
23.26274561,848032.0638,884004.4636
20.77579343,605337.6578,476389.4654
19.12079997,472837.6447,431089.11
18.49177192,428097.2831,491869.3716
15.33647633,246030.6988,264120.308
15.51882997,254760.5787,246605.6021
23.36724452,859452.7408,948948.8525
21.22611656,645273.1942,527258.6548
18.49906867,428599.219,375318.0135
22.62917148,780958.6313,858713.1755
24.83724808,1031191.372,1065098.759
18.83333853,452020.3033,439244.9989
21.24984023,647424.7126,671018.2314
22.91348634,810599.929,892107.4173
18.73673512,445165.4067,353144.0143
10.24835987,76290.71901,72138.32086
22.53956967,771769.9963,889807.1758
18.08801679,400935.8061,423666.0659
19.08101471,469918.8288,399396.4835
15.44430923,251168.0957,169465.9661
17.74978738,379095.8411,339761.77
16.83696693,324183.7126,381029.1423
28.52290725,1559461.799,1581348.33
16.70738089,316852.4648,333975.3036
22.71992086,790339.3898,831951.2389
19.22751927,480727.1818,528166.288
19.14237215,474425.3568,551527.6463
20.22890599,559112.3394,623947.8826
24.94288149,1044348.047,1030296.014
14.05402303,190287.2966,186570.3736
19.76746666,522003.8562,455656.4432
22.00948033,718887.9568,750066.8364
15.48128644,252946.3671,298350.7335
17.78573833,381378.2058,403664.48
16.81837493,323124.9192,305039.4872
18.55258802,432292.8707,428655.6416
15.41413016,249723.0454,251591.0132
18.02558096,396842.0957,387512.021
23.13604373,834321.7475,849016.7829
16.01244279,279439.1524,230410.274
26.74486535,1286409.498,1299112.564
19.09834249,471188.5746,504804.2963
20.49034897,580903.1839,660403.8559
19.37297132,491621.9913,449649.8595
21.71730837,690807.2779,636151.6196
17.09419935,339074.0378,343036.979
12.0983202,122882.5004,124273.6001
24.71946747,1016653.098,1061085.84
10.12440158,73701.05715,97012.91963
22.43583242,761222.6184,739836.7532
21.55473986,675506.1268,716917.0183
22.04479434,722332.9504,768379.3588
12.20757004,126129.4748,125253.196
23.27748012,849636.203,829012.3033
27.03862003,1329116.825,1259639.429
18.55040595,432141.8569,422477.9711
24.02734115,933983.8217,976732.2462
20.26302075,561924.0638,550016.5227
20.7341438,601730.2094,511758.9774
15.04813669,232644.2893,122028.7292
16.00749241,279183.9497,256943.9888
23.76097457,903408.58,1005071.106
28.01144279,1477302.235,1386585.606
20.8444274,611313.9513,554861.4296
19.74549538,520279.4582,510424.5573
16.75898062,319758.125,291152.5159
22.1755126,735181.2302,642742.8682
12.33031983,129847.5717,115366.7444
25.02103653,1054154.267,1009349.78
27.74377842,1435483.248,1463876.603
23.76812774,904220.7767,962485.8599
25.92988448,1172749.758,1087072.242
20.56926213,587590.7506,611073.64
24.42275088,980637.398,958100.3895
20.0647746,545716.7052,546065.5833
23.85361608,913965.311,893953.7139
29.09130219,1654287.533,1605033.987
18.89159346,456188.1492,387985.444
21.8732662,705703.0374,687665.1824
19.77197266,522357.9792,548407.621
17.06839585,337559.9559,413404.9029
20.53968668,585078.3308,484358.7863
15.7940311,268328.91,385177.4085
20.61328207,591343.6194,585468.08
17.76652772,380157.4621,297043.5861
23.82738235,910967.5731,904382.1016
19.72565405,518725.521,402505.2259
18.27218854,413176.8221,407126.6702
19.36778952,491231.0351,400644.6096
20.15290034,552881.9899,629585.4007
19.9679625,537917.3475,523428.3412
20.03530134,543334.2992,399854.2849
19.53491451,503945.9241,525986.2683
17.45428437,360683.3955,354992.2094
21.45224646,665977.1237,671585.7885
19.60743266,509531.2357,545962.516
20.51499331,582986.1733,590086.7022
18.73553585,445080.7496,496252.9036
13.9572745,186469.5076,92619.93959
16.83501623,324072.5127,340351.1328
20.8094701,608265.1253,551750.666
18.64511952,438729.3834,347903.6632
18.47014401,426611.8464,482825.0033
13.08822239,154486.9134,226439.1516
15.21563617,240358.7584,124669.0074
20.04654093,544242.0004,528401.9963
22.86268416,805249.1716,868823.3351
14.49985477,208569.1705,169619.6666
18.32750006,416901.6464,338160.4046
16.69838656,316347.8118,265306.4322
25.95021501,1175500.014,1155967.675
20.19380097,556228.8767,452606.8922
15.49823426,253764.2474,174530.8059
25.32792074,1093255.494,1047464.739
13.63755091,174224.4452,65756.69487
11.73116098,112392.5889,125999.4225
24.93740505,1043663.209,1036921.794
20.66094431,595425.1128,420019.499
20.93113893,618920.7972,640606.9642
22.22893615,740476.0188,710602.5301
19.12695619,473290.3775,432123.9357
20.5790792,588426.3039,629534.682
15.65442655,261386.3774,134883.5076
21.36805281,658217.2721,594630.6713
23.02602072,822537.3794,783204.0438
19.99889967,540401.5051,706708.2581
13.47520141,168221.9773,217253.632
16.46680514,303540.4126,376297.6185
16.6651649,314488.5189,421046.7425
22.59734692,777686.685,809522.9415
19.86889311,530014.0171,560125.8213
22.7531717,793795.3394,789731.8994
18.64577019,438774.871,465579.1633
14.22106797,197003.7239,135539.705
20.35854671,569847.7622,590705.6328
23.15844277,836734.6431,964542.3463
15.27113408,242952.5615,209286.3042
23.3687388,859616.7931,871990.6512
27.48930611,1396466.376,1396967.363
23.74087024,901128.4773,806067.3833
23.63929863,889667.7909,984530.9385
17.68887574,375249.8734,524037.1628
28.30839736,1524641.722,1543983.909
16.11793316,284914.9777,246179.6657
21.55169216,675221.4656,593934.7088
20.45331438,577782.351,723548.5491
20.95818558,621306.4191,603177.7895
26.40781583,1238550.053,1291013.56
17.95710185,392384.6234,171470.7747
20.12701437,550770.7519,516484.432
28.38135064,1536424.824,1415735.062
23.23911041,845463.1511,912024.5738
25.53331835,1119960.879,1049002.05
17.64850646,372715.4935,399485.4734
16.46926066,303674.342,168645.2882
22.63123323,781170.9208,700913.1622
20.03792527,543546.115,678021.3608
17.76529755,380079.3804,331304.9878
23.57708954,882696.9526,818962.1122
14.85518682,223967.8861,92198.3574
21.73092767,692099.5936,769593.683
20.54966592,585925.2545,680489.6725
20.79864893,607323.4213,527844.8941
19.11060468,472088.5164,491874.5715
23.19405098,840580.0895,751877.3172
19.46795496,498825.4055,685170.7765
27.84814362,1451693.459,1428560.302
18.4633933,426148.9091,536852.2847
22.14521744,732189.9966,673165.1121
16.75398792,319476.1956,283434.2022
25.0937082,1063327.599,1063574.572
25.34845614,1095906.083,1183249.857
21.08271856,632370.3639,512584.705
23.4136896,864561.6182,816124.7918
18.03134897,397219.0999,421808.3864
25.1229276,1067030.965,1035332.083
19.67609513,514857.7837,498675.4042
14.21138017,196609.8644,166461.0659
20.69190634,598086.6128,555815.66
20.22068698,558436.3466,629544.5279
21.69677818,688862.2585,674309.0445
19.84682687,528264.3561,543008.5302
14.57350237,211699.7194,221632.22
18.61217082,436430.1235,370308.6491
18.97589267,462264.981,500534.2967
18.47008855,426608.0419,342679.3215
31.11433412,2022955.993,2118430.036
19.11151971,472155.7187,443068.6672
18.94303184,459889.727,429131.947
16.5051619,305637.0355,400312.337
22.2784495,745406.0389,729455.2485
17.95892659,392502.9609,422177.2061
13.67094736,175477.057,159818.3104
17.54601437,366332.9264,446847.6456
11.1358558,96726.55727,137572.1706
17.60447882,369964.6217,494043.8981
26.62036017,1268588.916,1156974.532
23.35803039,858441.6129,846701.6342
24.73190366,1018181.641,973855.9284
19.75001876,520634.1588,508566.1588
17.73439478,378121.4548,353161.9193
11.22503668,98970.35016,9194.507665
26.44576484,1243878.103,1341855.262
21.12567986,636217.6479,565990.184
20.59921019,590142.1933,791288.0177
12.78539465,144289.3007,73090.09673
19.07788492,469689.7298,467109.4552
23.33204562,855594.4232,875192.4651
20.0815471,547075.6007,463679.6444
22.73762345,792178.0626,732487.0753
25.34909041,1095988.02,1172937.997
22.50552448,768297.7601,794625.4917
22.44774518,762428.8941,817354.919
16.18972914,288682.9895,376310.5774
23.01199685,821043.3707,646641.1489
12.74614001,143002.158,158934.7753
16.89263665,327368.0397,288120.4077
24.23724666,958560.5167,975622.9823
16.32699445,295980.4779,242094.6315
16.17961887,288150.3544,331272.6458
14.02029438,188950.3464,141901.1586
23.63167255,888811.2743,898246.7683
22.09731086,727476.5446,833085.965
10.80836373,88790.06987,93809.72841
18.35759167,418937.5568,418957.1336
22.28202333,745762.733,716489.3292
18.83822567,452368.9657,426507.5162
20.01545259,541733.8121,530516.8618
23.16247133,837169.1085,735743.0843
27.75874478,1437800.382,1419424.827
16.70123182,316507.3947,270516.7383
18.58575423,434592.5611,493469.5223
18.30756089,415556.2952,300225.6795
17.48515632,362578.1522,433763.1568
20.85633534,612354.8487,612577.4328
20.38841121,572340.2724,515502.5599
22.79324685,797974.0182,992255.8597
23.45510293,869134.1335,894398.5041
24.26422763,961750.629,1058483.001
19.29885375,486049.8468,683236.5237
13.85643513,182546.1765,203079.7848
22.15902753,733552.54,757475.8206
23.00085167,819857.3349,985599.4409
20.72809744,601207.7116,528914.1142
17.99417453,394793.5643,352556.8572
29.04454597,1646345.553,1572602.213
15.91899161,274648.1072,274589.6076
27.61220934,1415220.716,1344494.806
15.68233156,262764.2512,402766.6889
19.90687772,533034.9796,584272.8771
26.3086934,1224705.3,1265999.784
23.67316378,893478.0019,853165.2087
23.940507,923941.5313,835809.14
18.9943753,463604.5655,329198.7382
20.97646982,622922.6531,613799.618
16.71301387,317168.7962,328470.0375
19.2471887,482190.8947,524947.8909
20.56332592,587085.8927,551506.1935
15.61520356,259457.934,321739.1738
21.69866562,689040.9202,685122.1832
24.69385532,1013509.926,1057606.011
19.39151428,493022.7306,538045.2819
16.38820828,299274.6193,167440.5889
25.69351584,1141089.823,1065200.75
24.92012381,1041504.132,968561.3055
25.77867056,1152428.931,1278860.732
24.14053175,947183.5894,1008243.849
19.47433177,499311.5382,532738.6342
16.68608244,315658.3327,300445.1322
19.69626368,516429.4557,629727.6946
13.65386021,174835.3989,108465.5116
21.15715584,639046.3404,677570.9224
16.78389538,321167.5317,463214.3752
25.48917463,1114184.99,1163484.823
21.89342454,707643.9652,748184.1541
19.90787014,533114.0626,643730.0868
15.11194985,235563.1977,183821.137
16.73788927,318568.2742,314581.6419
15.82000827,269634.376,364349.4478
18.81472187,450693.7966,497807.0698
18.84070644,452546.0196,382187.9132
24.38166657,975718.9135,909370.9076
13.1005981,154913.846,188217.0701
19.95439546,536830.3808,613450.562
12.56446505,137147.5518,82308.68578
21.63258728,682804.5443,719713.4582
18.98829815,463163.8179,366926.3083
14.20515286,196356.9747,228573.4458
16.81151089,322734.611,446328.5428
18.25246991,411854.3547,312497.2995
20.70710216,599395.7628,688908.0473
21.03476148,628094.1704,629587.9002
20.88446781,614818.6868,741595.0526
26.14120524,1201547.6,1281383.504
24.39406568,977201.5514,1070032.474
19.49957924,501239.392,500227.1202
19.25164965,482523.2754,555988.6534
24.3448593,971326.5127,900531.7555
19.91312101,533532.6199,488261.1012
19.41592189,494870.574,549603.257
18.29824927,414929.0171,352549.747
23.03551372,823549.7339,821629.7712
12.18097363,125333.6393,105811.5857
23.72194993,898986.182,790803.2807
18.89750399,456612.4567,481672.6498
20.19106098,556004.2397,589961.1691
26.8725197,1304853.864,1405343.792
20.52304175,583667.5287,593182.6227
14.22789817,197281.7292,150621.4211
22.04691002,722539.6919,587503.0664
23.71858443,898605.4739,901090.0069
21.23969133,646503.7127,481456.5405
21.34485296,656089.7289,622050.3748
16.69399433,316101.5704,283123.7565
16.92009297,328946.2959,273034.9834
21.33578486,655259.3935,541403.068
18.76346151,447054.8403,469622.6352
15.64451317,260898.0616,298007.691
20.29859644,564866.296,494835.1588
18.3615471,419205.6668,295655.4934
20.16066897,553516.6507,500315.9109
21.76995657,695811.9671,816116.8922
19.14719949,474781.1387,609150.5087
18.39840607,421709.6203,497831.0206
26.70289896,1280384.215,1301069.293
19.07358176,469374.8626,397079.8718
17.51262428,364269.621,419939.3074
20.64091438,593707.58,608661.0695
17.41375314,358205.9544,274000.3467
23.54372706,878973.6367,892307.1546
24.82702126,1029923.541,1142308.062
19.29702098,485912.5998,385992.7068
21.66182828,685559.5764,701473.8021
25.84559498,1161393.235,1119979.637
22.54009241,771823.3923,744370.0554
14.56533392,211350.9381,162285.5583
24.48642284,988292.7555,926436.6301
19.80249861,524761.2442,573538.9244
17.63090229,371613.9272,320414.6722
16.25520823,292148.7209,261299.809
24.60770248,1002984.836,900071.0851
19.22376725,480448.3124,376012.1285
23.21716187,843082.2356,840730.687
19.65030559,512852.7737,554058.8425
22.38972662,756566.0386,730236.8656
20.28000285,563327.2546,595004.5589
11.6891201,111232.396,41055.46886
20.86804654,613379.707,602734.8021
23.70742824,897344.2464,1018659.28
21.10202932,634097.7501,627194.7815
19.92199632,534240.5909,571496.6458
22.80753922,799467.8568,965389.6001
10.16784679,74601.53179,-49922.25747
21.04378793,628897.5459,576281.6425
13.63463279,174115.285,125622.8611
17.24515232,348023.458,351076.6737
14.53810767,210191.2359,104260.4369
16.70160646,316528.411,422294.1961
23.59629542,884845.1491,821608.6951
19.84323082,527979.5885,609738.5585
22.79360761,798011.7018,896644.4918
13.00340589,151582.5892,202523.2953
17.49851102,363399.8677,266376.6522
20.27800267,563161.8626,562176.2208
21.91447957,709675.0476,645403.0877
24.48368347,987962.5766,1006063.847
18.72147757,444089.1801,362321.3125
12.76728761,143694.5962,151211.4453
28.96774571,1633355.691,1603468.97
17.53701743,365776.1966,191017.6039
14.53261702,209957.8869,248010.0723
14.79556454,221331.938,298091.1363
20.02320022,542358.1585,530715.1681
17.89081821,388102.2993,417624.0447
18.7705341,447555.7413,360587.5003
24.49791681,989678.9392,962007.3653
25.45740134,1110040.042,1066790.196
30.61024434,1926434.152,1970910.536
24.82111586,1029191.917,1170244.186
14.11006146,192522.787,112990.1406
24.14981784,948272.0012,904124.4567
17.74237133,378626.1774,395326.1896
27.70128932,1428918.578,1470850.493
22.347584,752326.4676,765440.5862
20.01206986,541461.365,512599.513
16.37514239,298569.4267,314201.8795
24.10158069,942627.2955,999522.7502
15.61381966,259390.0697,362396.6192
21.86529756,704936.7691,674391.7462
19.80619806,525053.0005,661615.5689
24.5751596,999028.2675,906215.296
26.51287204,1253337.457,1300188.327
22.09391819,727143.5192,729482.6329
18.19017126,407694.9054,413977.4107
22.63496992,781555.7723,804442.508
24.78383246,1024580.881,978467.3357
29.42820569,1712272.009,1768672.734
22.16405949,734049.4311,723890.3699
27.36447507,1377588.72,1322694.094
19.90519493,532900.9004,539237.3266
14.85019958,223746.584,259160.773
19.34443188,489471.3452,399111.1752
16.48469025,304516.8193,314994.9492
19.01149416,464847.6326,569446.925
15.0752466,233881.3214,172873.2581
19.83954415,527687.7517,556502.6191
20.87011841,613561.1385,581373.4774
18.24885679,411612.3428,483403.1564
22.04229828,722089.0883,772505.3597
18.34777833,418272.8814,267649.4375
16.33061728,296174.7501,325772.1948
16.47462302,303966.9558,344246.0826
14.92508491,227085.1716,388525.7421
18.79072693,448987.9329,450941.9314
20.61993491,591912.1951,642955.7609
18.86147021,454029.7702,408086.7197
23.28244823,850177.5368,817149.0738
22.22168917,739756.2797,713869.6849
9.008941945,53118.79592,121671.3638
21.00273635,625249.4155,689140.8631
18.45291333,425430.9036,544173.229
17.65159882,372909.2225,474915.8463
13.43881493,166896.3234,248721.936
20.35436216,569499.0997,676849.7801
31.0201838,2004688.506,1963521.443
22.12090546,729795.4291,620789.868
22.79925868,798602.1466,829065.9234
20.50812838,582405.4325,541410.402
17.19658118,345126.6927,332932.8437
21.19982588,642894.4816,693696.8742
19.6949869,516329.8645,540629.1212
7.985595963,38212.5213,85195.20376
18.10419035,402000.8711,296707.1439
18.55873118,432718.2077,405174.8281
14.22474316,197153.2797,179647.4234
21.57752643,677636.9885,551380.5526
17.13503544,341479.5451,324880.1488
22.33189241,750751.9624,756232.9602
15.35160999,246747.364,271159.8717
20.77824154,605550.1485,600141.2374
19.10174332,471438.0513,517682.198
21.21422565,644196.6054,629202.2982
14.02496631,189135.1517,122020.7799
20.50185866,581875.3835,605820.2551
16.88076015,326686.9363,375634.8998
22.58172944,776084.3874,840052.4488
17.22051914,346552.3034,487794.2126
17.33788255,353599.3095,294228.5222
19.74213061,520015.716,618876.8785
16.51224612,306025.3342,249924.1584
27.24640376,1359891.063,1317019.22
24.65655005,1008943.4,949518.3833
18.00419958,395446.6872,459981.7492
18.40014039,421827.6862,365238.6727
25.26930939,1085713.89,1143300.372
15.07750795,233984.7084,138182.0169
21.1978216,642713.3815,595741.5834
22.19130431,736743.6898,789735.6892
19.27245846,484075.7534,512299.9436
28.46372905,1549803.234,1607951.916
19.97686083,538631.0678,526686.0761
25.227107,1080305.262,1030589.215
13.65572864,174905.4842,151237.5945
19.25183947,482537.4221,389349.4043
26.07310186,1192215.713,1112152.684
11.52525599,106789.2639,-10782.46281
20.20278887,556966.1728,518744.7767
21.95211116,713314.9264,673882.2847
16.99754586,333426.1346,377901.1698
24.33141464,969725.3995,984916.3162
22.16506841,734149.0858,727400.3834
23.18368684,839459.614,933185.3775
15.12989641,236388.5517,262656.8358
22.36042473,753616.5608,675791.1316
23.23143157,844629.6607,898859.8094
24.41033781,979149.5977,951867.4975
18.75757287,446638.0781,487187.1399
16.63894808,313026.4806,442462.6034
15.7644647,266848.2829,403229.2481
19.0864416,470316.2528,399666.3783
21.30907311,652817.5874,581821.6601
19.17408692,476766.0664,558709.7617
19.49321784,500753.1752,526684.236
23.78582928,906232.7766,989587.0075
22.75735266,794230.6056,855839.8754
23.47069316,870859.6642,813464.8311
17.83584702,384574.8007,453571.5013
19.82952348,526895.0642,485874.7673
20.6047488,590614.8714,648160.8449
23.19950186,841169.7914,846453.9704
22.76981282,795528.7419,827050.5982
25.45333932,1109510.88,987429.2324
15.90596379,273984.6442,221467.399
26.60698123,1266683.856,1191462.574
18.98543199,462956.0467,507966.6852
21.30319533,652281.1013,667871.9999
18.14331399,404585.1251,399478.2206
23.5288926,877321.4673,774899.9212
19.3069535,486656.7069,379358.1
19.84765364,528329.8412,440933.7134
18.44338219,424778.6116,508702.2183
21.88844029,707163.7281,713817.3856
34.6531906,2792951.124,2791345.44
23.4052372,863630.3596,875769.6252
23.39412556,862407.1353,842812.0804
22.98045836,817690.1148,909814.4974
16.05991894,281894.6662,261777.5368
22.08093845,725870.3659,753909.9238
28.83766426,1611510.532,1654766.44
14.75205932,219421.884,232212.8133
14.31303353,200769.3734,197448.6152
13.39315468,165242.9181,270761.9423
21.57766554,677650.0109,647267.2319
18.33618221,417488.3704,287646.0438
15.37328048,247776.0465,182589.0833
20.47020481,579204.2749,639315.0591
19.87579134,530561.7847,485559.6333
17.43800674,359687.054,289983.091
16.37887004,298770.501,351994.4265
26.61481483,1267799.069,1285877.665
23.64588198,890407.6375,815142.3414
22.22714412,740297.9985,669033.3985
19.03866273,466825.0475,419089.1632
23.20212301,841453.4575,849628.5923
19.59869456,508856.0385,504174.9983
23.26014864,847749.5437,849017.1438
17.02831354,335217.0875,273517.2697
32.38518277,2280517.184,2238828.68
24.2906544,964882.0972,1079851.217
24.61592146,1003985.758,909833.3252
21.35646142,657153.7056,631481.1625
16.6567735,314020.0536,371834.8535
23.1678687,837751.4309,969540.5317
19.01116492,464823.7044,410084.1622
18.89139336,456173.789,334038.1427
27.9469066,1467145.804,1536945.428
32.65938813,2338819.414,2332613.457
24.20293978,954514.4626,1025278.634
21.10579128,634434.6328,694252.2433
24.47709403,987168.6491,997667.0005
15.95304353,276387.3887,324655.7561
20.48410058,580375.8525,706544.3245
13.955796,186411.5727,172857.7305
22.95351987,814833.2201,880651.6463
16.97318076,332012.4588,401768.3689
25.05298954,1058181.138,1006068.139
21.66761163,686105.3544,686651.3311
14.8509685,223780.6937,276483.991
20.25382014,561164.8206,673538.5157
19.61967135,510477.9371,498051.7502
26.20735642,1210658.647,1260057.896
25.57599,1125563.17,1166856.155
19.04637781,467387.6052,453808.9703
16.00694232,279155.6013,376314.62
17.74394912,378726.0671,329788.9662
20.16564424,553923.3644,444293.8401
21.18115366,641208.6447,696589.3731
23.72253596,899052.4855,1060597.776
18.33233674,417228.432,389369.254
20.36263522,570188.5602,483948.9288
20.15934659,553408.5842,490874.1051
15.22813558,240941.2966,111576.4969
22.61334327,779330.1506,772972.0412
25.14344715,1069636.835,1155196.303
18.2618477,412482.9382,544761.3409
20.59185806,589515.1364,563150.7494
22.80589327,799295.7267,894763.13
20.52714854,584015.4019,582304.8206
21.69224673,688433.446,638326.925
15.61304204,259351.9415,250313.6924
21.51863395,672138.9309,678777.1432
18.02038682,396502.8071,317714.7524
17.31399412,352157.1844,315113.3331
22.97812155,817442.0253,945038.3968
21.2762351,649824.1343,771272.6569
20.52985671,584244.879,669661.0013
11.09377161,95680.09902,53356.40437
22.17327576,734960.0935,737805.6222
16.64932409,313604.5714,113462.0454
9.800315119,67223.94833,102653.8715
18.27339673,413257.9445,237017.4778
27.13096671,1342735.874,1142972.212
23.20016279,841241.312,865745.6153
13.88808824,183771.5773,267638.6431
14.57214403,211641.693,43255.44071
24.31401848,967656.3292,995572.5787
19.46949468,498942.7555,447117.3816
19.52850122,503453.9653,588436.2085
19.50265418,501474.53,545571.9976
18.86454622,454249.8557,514734.4958
14.00012075,188153.7611,104527.6817
17.40710258,357800.5428,400061.1019
28.14894505,1499098.3,1477222.065
20.02034346,542127.8887,499645.6155
22.56988744,774870.916,774380.7061
16.6434268,313275.9206,340353.3727
20.13211882,551186.6372,497069.4632
15.38513401,248339.9525,390532.4119
24.40973168,979076.9874,955303.4207
23.77306069,904781.1667,929099.5146
20.51686298,583144.4059,477479.9986
17.4966934,363287.9556,345037.7789
13.23687553,159668.6021,181101.2861
17.36740915,355387.3016,319055.2069
17.30172422,351418.0053,554320.5663
13.43308455,166688.2032,189186.9432
16.64743494,313499.2652,354866.6669
18.98485397,462914.1529,503720.9973
19.28488256,485004.2742,490229.6595
17.66563947,373789.6885,352381.5355
15.44966372,251425.0722,250499.0515
20.33039463,567504.8552,660599.4644
20.95428439,620961.9382,503172.3924
17.38252446,356304.969,291431.785
9.574471483,62955.73532,132025.9536
24.26112966,961383.9771,961314.511
23.95606617,925735.5923,948400.8167
24.04849734,936441.5388,1011548.809
